     0   0.929389       -nan       -nan
     0    1.28705   0.929389       -nan       -nan
  0.01       -nan       -nan          0       -nan
  0.02       -nan       -nan          0       -nan
  0.03       -nan       -nan          0       -nan
  0.04       -nan       -nan          0       -nan
  0.05       -nan       -nan          0       -nan
  0.06       -nan       -nan          0       -nan
  0.07       -nan       -nan          0       -nan
  0.08       -nan       -nan          0       -nan
  0.09       -nan       -nan          0       -nan
   0.1       -nan       -nan          0       -nan
  0.11       -nan       -nan          0       -nan
  0.12       -nan       -nan          0       -nan
  0.13       -nan       -nan          0       -nan
  0.14       -nan       -nan          0       -nan
  0.15       -nan       -nan          0       -nan
  0.16       -nan       -nan          0       -nan
  0.17       -nan       -nan          0       -nan
  0.18       -nan       -nan          0       -nan
  0.19       -nan       -nan          0       -nan
   0.2       -nan       -nan          0       -nan
  0.21       -nan       -nan          0       -nan
  0.22       -nan       -nan          0       -nan
  0.23       -nan       -nan          0       -nan
  0.24       -nan       -nan          0       -nan
  0.25       -nan       -nan          0       -nan
  0.26       -nan       -nan          0       -nan
  0.27       -nan       -nan          0       -nan
  0.28       -nan       -nan          0       -nan
  0.29       -nan       -nan          0       -nan
   0.3       -nan       -nan          0       -nan
  0.31       -nan       -nan          0       -nan
  0.32       -nan       -nan          0       -nan
  0.33       -nan       -nan          0       -nan
  0.34       -nan       -nan          0       -nan
  0.35       -nan       -nan          0       -nan
  0.36       -nan       -nan          0       -nan
  0.37       -nan       -nan          0       -nan
  0.38       -nan       -nan          0       -nan
  0.39       -nan       -nan          0       -nan
   0.4       -nan       -nan          0       -nan
  0.41       -nan       -nan          0       -nan
  0.42       -nan       -nan          0       -nan
  0.43       -nan       -nan          0       -nan
  0.44       -nan       -nan          0       -nan
  0.45       -nan       -nan          0       -nan
  0.46       -nan       -nan          0       -nan
  0.47       -nan       -nan          0       -nan
  0.48       -nan       -nan          0       -nan
  0.49       -nan       -nan          0       -nan
   0.5       -nan       -nan          0       -nan
  0.51       -nan       -nan          0       -nan
  0.52       -nan       -nan          0       -nan
  0.53       -nan       -nan          0       -nan
  0.54       -nan       -nan          0       -nan
  0.55       -nan       -nan          0       -nan
  0.56       -nan       -nan          0       -nan
  0.57       -nan       -nan          0       -nan
  0.58       -nan       -nan          0       -nan
  0.59       -nan       -nan          0       -nan
   0.6       -nan       -nan          0       -nan
  0.61       -nan       -nan          0       -nan
  0.62       -nan       -nan          0       -nan
  0.63       -nan       -nan          0       -nan
  0.64       -nan       -nan          0       -nan
  0.65       -nan       -nan          0       -nan
  0.66       -nan       -nan          0       -nan
  0.67       -nan       -nan          0       -nan
  0.68       -nan       -nan          0       -nan
  0.69       -nan       -nan          0       -nan
   0.7       -nan       -nan          0       -nan
  0.71       -nan       -nan          0       -nan
  0.72       -nan       -nan          0       -nan
  0.73       -nan       -nan          0       -nan
  0.74       -nan       -nan          0       -nan
  0.75       -nan       -nan          0       -nan
  0.76       -nan       -nan          0       -nan
  0.77       -nan       -nan          0       -nan
  0.78       -nan       -nan          0       -nan
  0.79       -nan       -nan          0       -nan
   0.8       -nan       -nan          0       -nan
  0.81       -nan       -nan          0       -nan
  0.82       -nan       -nan          0       -nan
  0.83       -nan       -nan          0       -nan
  0.84       -nan       -nan          0       -nan
  0.85       -nan       -nan          0       -nan
  0.86       -nan       -nan          0       -nan
  0.87       -nan       -nan          0       -nan
  0.88       -nan       -nan          0       -nan
  0.89       -nan       -nan          0       -nan
   0.9       -nan       -nan          0       -nan
